,velocity,flow,congestion,fuel_consumption
0,1.9180455802327758,1.9180455802327756,,6.5078222952421205
1,1.8759517390926037,1.8759517390926037,,6.690968296814064
2,1.8854665453233377,1.8854665453233377,7953.0,6.966027622246331
3,1.884631740947098,1.884631740947098,5616.0,7.6158937202418935
4,1.8853723521799832,1.8853723521799834,3651.0,7.617050065922824
5,1.8976778383355761,1.8976778383355761,,6.46270934027307
6,1.8838670075817372,1.8838670075817374,7827.0,7.176376079699089
7,1.9113799195946688,1.9113799195946688,,6.452690798624514
8,1.8940434235009425,1.8940434235009422,,6.586675319238684
9,1.9032782721741734,1.9032782721741734,6221.0,6.920311140764377
10,1.919786807552771,1.9197868075527709,,6.5332514007106495
11,1.9022410271547212,1.9022410271547214,6493.0,6.853864034044509
12,1.8994861596277552,1.899486159627755,,6.484294445794298
13,1.9143782589480078,1.914378258948008,,6.487811426815762
14,1.9083571482623527,1.9083571482623527,,6.45566914510496
15,1.9154635785764549,1.9154635785764549,5976.0,6.728353066800944
16,1.9054311129419395,1.9054311129419395,,6.463942020832147
17,1.8990529416750392,1.8990529416750395,6238.0,7.476700426391349
18,1.9190853029629744,1.9190853029629744,,6.500782074481932
19,1.9149065324617491,1.9149065324617491,,6.594609998825216
