,t,cars_in_congestion
0,0,100.0
1,1,100.0
2,2,73.0
3,3,58.0
4,4,70.0
5,5,71.0
6,6,64.0
7,7,73.0
8,8,75.0
9,9,74.0
10,10,79.0
11,11,78.0
12,12,79.0
13,13,74.0
14,14,69.0
15,15,71.0
16,16,60.0
17,17,67.0
18,18,65.0
19,19,66.0
20,20,65.0
21,21,69.0
22,22,75.0
23,23,72.0
24,24,78.0
25,25,82.0
26,26,83.0
27,27,75.0
28,28,77.0
29,29,76.0
30,30,73.0
31,31,77.0
32,32,65.0
33,33,67.0
34,34,67.0
35,35,68.0
36,36,68.0
37,37,60.0
38,38,66.0
39,39,66.0
40,40,64.0
41,41,64.0
42,42,61.0
43,43,61.0
44,44,63.0
45,45,58.0
46,46,56.0
47,47,57.0
48,48,60.0
49,49,63.0
50,50,63.0
51,51,61.0
52,52,60.0
53,53,63.0
54,54,68.0
55,55,66.0
56,56,70.0
57,57,71.0
58,58,68.0
59,59,62.0
60,60,63.0
61,61,63.0
62,62,69.0
63,63,71.0
64,64,66.0
65,65,65.0
66,66,73.0
67,67,76.0
68,68,74.0
69,69,77.0
70,70,68.0
71,71,61.0
72,72,63.0
73,73,57.0
74,74,60.0
75,75,61.0
76,76,63.0
77,77,67.0
78,78,68.0
79,79,69.0
80,80,67.0
81,81,67.0
82,82,61.0
83,83,57.0
84,84,59.0
85,85,57.0
86,86,53.0
87,87,63.0
88,88,64.0
89,89,62.0
90,90,64.0
91,91,65.0
92,92,70.0
93,93,59.0
94,94,62.0
95,95,63.0
96,96,58.0
97,97,65.0
98,98,63.0
99,99,69.0
100,100,71.0
101,101,71.0
102,102,60.0
103,103,64.0
104,104,67.0
105,105,58.0
106,106,62.0
107,107,54.0
108,108,61.0
109,109,65.0
110,110,61.0
111,111,53.0
112,112,68.0
113,113,65.0
114,114,58.0
115,115,66.0
116,116,64.0
117,117,61.0
118,118,65.0
119,119,64.0
120,120,58.0
121,121,62.0
122,122,69.0
123,123,65.0
124,124,58.0
125,125,58.0
126,126,58.0
127,127,57.0
128,128,56.0
129,129,57.0
130,130,53.0
131,131,48.0
132,132,54.0
133,133,49.0
134,134,56.0
135,135,53.0
136,136,59.0
137,137,69.0
138,138,65.0
139,139,68.0
140,140,78.0
141,141,67.0
142,142,68.0
143,143,61.0
144,144,62.0
145,145,55.0
146,146,54.0
147,147,54.0
148,148,57.0
149,149,56.0
150,150,54.0
151,151,64.0
152,152,59.0
153,153,65.0
154,154,67.0
155,155,62.0
156,156,63.0
157,157,63.0
158,158,62.0
159,159,57.0
160,160,53.0
161,161,48.0
